CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,REPORT_TYPE,DATE_POLICE_NOTIFIED,LATITUDE,LONGITUDE,LOCATION,Crash_Type
5f54a59fcb087b12ae5b1acff96a3caf4f2d37e79f8db4106558b34b8a6d2b81af02cf91b576ecd7ced08ffd10fcfd940a84f7613125b89d33636e6075064e22,07/29/2023 02:45:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,07/29/2023 02:45:00 PM,41.854120263,-87.665902343,POINT (-87.665902342962 41.854120262952),C
fd05285e9d273fe20cbbebf84794045828a2ba589073b6c92a05f7656d6a31172e5e79847caf4c04f3bebf91ed7f2cab1a871cf53690f71f3d940f839a1c8fc4,07/29/2023 02:30:00 PM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),08/03/2023 01:55:00 PM,41.809781151,-87.594212812,POINT (-87.594212812011 41.809781151018),C
4a1f7a24129e5e1d4a7a2fd44ab6f8822a20bcdb2f627f490af8975d8c14e9fadf2d7b533a09a7e8c2cc57a4b3563803d7d4eb4db3892337cf233f1f0f154013,08/13/2023 10:10:00 AM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/13/2023 10:29:00 AM,41.975852858,-87.70913432,POINT (-87.709134319958 41.975852858025),C
1ee2180a89cc02c0b756f95b5b2755bb5cc9d93450f5caafaee5cb5c6aa75adafd251402ac205833ff78be9c9a0eb799f33d9c854975cf3a8e10c6a7d28116c7,08/09/2023 07:55:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/09/2023 08:00:00 PM,41.758245505,-87.626521907,POINT (-87.626521907009 41.758245504966),C
64063a32537af636c3a234b85f6a67ecb159a34af31da51f86961959bce9cec811ae891cdf9c519c462e883749757bf53239ce9e74942d8d1e73cb81ea3dc859,08/19/2023 04:50:00 PM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),08/19/2023 05:30:00 PM,41.903639931,-87.65554697,POINT (-87.655546970003 41.903639930952),C
5590930e0c8de54aff531280946aebabcdd5ce798a37bba57e348767963ab9972abc4995b39885f423f226e2898df17ffef38424e81ea9cabd20fa22fd10c9c3,07/30/2023 12:30:00 PM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),07/30/2023 05:30:00 PM,41.924441971,-87.721111935,POINT (-87.721111934959 41.924441970981),C
c107aea0fb8320ca5e7676759af9399cffe67f3ac8e4292e448a54ef70cf2196867af4481c6acb568341407b99430956b7a8a30d7193127d31f16891e90eab8d,09/19/2023 05:40:00 PM,CLEAR,DAYLIGHT,UNKNOWN,NOT ON SCENE (DESK REPORT),09/19/2023 07:00:00 PM,41.654263202,-87.608382357,POINT (-87.608382357018 41.654263202013),C
39f9bf68f766b70961a951d50a848357a078576778d3825f303eb9b3e656cd39b0659b6edc8b2b67641052f0d5ae502e2109b42876dafada4caed33b04c19eef,09/06/2023 06:45:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/06/2023 06:45:00 PM,41.921729807,-87.663234201,POINT (-87.663234201004 41.921729806985),C
db61137bc4bb19b84665da12c4c367592e874c623f76a1159a998cf6fafa7dd225820a30a5c4dd36ff4a7147d70c85395dd9b0dfaeea511be8cc8161e8148e07,07/30/2023 06:09:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),07/30/2023 07:25:00 PM,41.893773028,-87.712756512,POINT (-87.712756512047 41.893773027997),C
8640aa03a86f10df7a8c1dafc03d1551c4a4c0262397f3ab7bccb2b62e75f94132f1f92953d980712fce89d1c374f1a30c239475c880303d9842bba5b8987775,09/06/2023 11:00:00 AM,CLEAR,DAYLIGHT,DRY,ON SCENE,09/06/2023 11:30:00 AM,41.937252171,-87.776320528,POINT (-87.776320528037 41.937252170984),C
