PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,SEX,AGE,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,geometry,YEAR,ADDRESS
O975918,DRIVER,b8856a453c27992de6015cb97024394933665c2691166e988e54258c160a9d9e0c3fb2da0299e44b730546e6786bbeef81457e87e9645ed6dcd1793e06ad23ba,924836.0,M,70.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-10-13 08:25:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",10/13/2020 11:15:00 AM,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,3,10,41.875129679,-87.676642286,POINT (-87.676642285963 41.875129678583),POINT (1163095.9767177415 1897771.4073073042),2020,2002 W CONGRESS PKWY
P194752,PASSENGER,3eefb70a51e103a49dbefb3cb7198031e771a08f0b520a24ffc13b07a5f45c9eff511326b0876db3f811221253e7ef538a8b1c4853fe2540c0fc7afe1d229236,808405.0,M,28.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,,,,,2020-02-28 16:35:00,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",02/28/2020 04:40:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,6,2,41.850841265,-87.638334576,POINT (-87.63833457638 41.850841264825),POINT (1173600.5626108416 1889002.906195761),2020,2301 S CANAL ST
O955860,DRIVER,4ea3abb4f8713960ae930d0fc4faf756be00353e0465584f2d0d16470bf2d09265d9ac1ad7620cc1a77b5408f1f1092543752b7afa84858d4f53ae857a9a88c7,906012.0,M,28.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-09-11 09:22:00,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",09/11/2020 09:24:00 AM,EQUIPMENT - VEHICLE CONDITION,UNABLE TO DETERMINE,,3,NONINCAPACITATING INJURY,4.0,0.0,0.0,4.0,0.0,7.0,0.0,9,6,9,41.781151481,-87.683548071,POINT (-87.683548070956 41.781151480575),POINT (1161474.232993292 1863511.8596659298),2020,6159 S WESTERN AVE
O951828,DRIVER,eb0b91b23a25eb205c41908dc06e73badd1f1f5f3266187571a71eae3ba75a20f5e7cc0448aea2e0890b6970058db795bfeb944185914899362d4bceed942a99,902217.0,M,24.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,NORMAL,,,,,2020-08-22 10:50:00,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,"OVER $1,500",08/22/2020 11:20:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,7,8,41.917450989,-87.711988373,POINT (-87.711988372904 41.917450988693),POINT (1153357.9466009843 1913121.6064270004),2020,3400 W ARMITAGE AVE
O926920,DRIVER,2d6883312a0bfb421b4c083f275cac72ceb6a9e654152202186b536863ee0234045ef1a7dcbc6f1483f502a8b3c37b2ff03f3f31fa068e2fc0363b1147f8400d,878773.0,F,44.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-07-28 11:00:00,15,CLEAR,DAYLIGHT,PEDALCYCLIST,PARKING LOT,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,07/28/2020 11:14:00 AM,NOT APPLICABLE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,3,7,41.935472033,-87.668654543,POINT (-87.668654543143 41.935472032732),POINT (1165101.0211874554 1919776.9355883927),2020,2940 N ASHLAND AVE
O879592,DRIVER,a8d7e8a2a990729d96686fd846609e57f5560e53d3e6a41bfb5983977ed44cf306c694bff3b48e1470bb1441c379c35d3367f42cd780c2f8bc2aa1e2215e7ca2,834475.0,M,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,UNKNOWN,,,,,2020-05-03 13:15:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,05/04/2020 12:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,Y,2,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13,1,5,41.994322442,-87.670643671,POINT (-87.670643671453 41.994322442141),POINT (1164393.935779741 1941218.0827822192),2020,1611 W GRANVILLE AVE
O881545,DRIVER,02ad85b29a186df909c6154cd0fd211e6aad5faf21d1200c8f07e7ef83387d5f398dc326f5b6f13c218fdf5fdc6f6f9b25c79f406a42a3d4a2507728921f0eff,836286.0,F,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,,2020-05-09 16:30:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",05/09/2020 05:15:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,7,5,41.815352037,-87.704406263,POINT (-87.704406262956 41.815352037319),POINT (1155694.1041595603 1875932.0199520346),2020,4300 S KEDZIE AVE
O855297,DRIVER,88bce1921090d98e256a5ed6f15e25b81a206e1e43216098f229813794845999abc86ea6785c90709855517013a364a1df34a25603f72b7e528512efca021e54,811647.0,M,20.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,NOT OBSCURED,NORMAL,,,,Y,2020-03-04 15:50:00,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"$501 - $1,500",03/04/2020 04:03:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,,2,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,2.0,0.0,15,4,3,41.946211906,-87.748849959,POINT (-87.748849958536 41.946211906374),POINT (1143254.0508687205 1923531.5997249412),2020,4844 W ADDISON ST
O900818,DRIVER,e20173e133a3cf94fdb0c30c39edf6ac604d870a0a515d4ce7e581bf3d40f9a1b07fbefd97fd1ae07bfd9f9dfdbb2d3efa5ff80990ab0b1b87808fae50754a17,854181.0,F,63.0,DID NOT DEPLOY,NONE,"REPORTED, NOT EVIDENT",NONE,NOT OBSCURED,NORMAL,,,,,2020-06-16 16:22:00,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",06/16/2020 05:30:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,2,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,16,3,6,41.772799267,-87.618749813,POINT (-87.618749813079 41.772799266947),POINT (1179172.879371192 1860608.5831016595),2020,251 E MARQUETTE RD
O826674,DRIVER,ba81ddf3f7b1612765e5ca37eb4aa5aec2b42804dbf90ec81eff3f5e93d59f2fd90c54664eebd308c1eacb73af8a699717113211568b637114c9ae9f02e7c821,784747.0,M,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,,2020-01-21 12:00:00,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",01/21/2020 04:35:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,3,1,41.865703237,-87.764545567,POINT (-87.76454556681 41.865703237003),POINT (1139178.6974535708 1894165.5309874748),2020,5604 W ROOSEVELT RD
