CRASH_RECORD_ID,CRASH_DATE,VEHICLE_ID,PERSON_TYPE,ZIPCODE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME
81dc0de2ed92aa62baccab641fa377be7feb1cc47e6554932773284e51271e820d7a3c2398fa53636ac3b5b9004d27ee725ff26cfe65ce9b7869b67572e8f17d,2019-09-28 03:30:00,834816.0,DRIVER,60651,P,9,2019,03:30:00
af84fb5c8d996fcd3aefd36593c3a02e6e7509eeb27568963d242f4b42bd91abfe2e5a046370df528b37a30d594ab2921c37f38f59f7db8863e2e2fa3e9dfa1f,2020-04-13 22:50:00,827212.0,DRIVER,60620,P,4,2020,22:50:00
f25f09798b51603bde602ded37fea826fc8b7f962fc3b0b5ba1cbf87e663adb59f730ee54aa34cdbc1204c844b1b1f79b8da30c55772043c8536fa0466c17f6c,2020-02-23 18:15:00,805348.0,DRIVER,60625,P,2,2020,18:15:00
e9146986f4b0884d00ff3a54da5249263b4b36c15d01ce12dc5afc1deb13df4afa6396dd7581d1953d87f645ff430eb981fd1be4ee4554d50935fbe2af0a7c4a,2020-04-30 15:05:00,832624.0,DRIVER,60620,P,4,2020,15:05:00
49336aaca932f7935c361c892d31e01360a08133079e3a67fc0409849d2099b86ec688f2d7a92be95d57fc83bd8a7c5f8768d8a264cce09a83d9c1ad94c71ff0,2020-05-05 12:20:00,834553.0,DRIVER,60154,P,5,2020,12:20:00
49336aaca932f7935c361c892d31e01360a08133079e3a67fc0409849d2099b86ec688f2d7a92be95d57fc83bd8a7c5f8768d8a264cce09a83d9c1ad94c71ff0,2020-05-05 12:20:00,834560.0,DRIVER,60641,P,5,2020,12:20:00
cb7e25c6e63094307e5b999a8a5ec6f781a54781aeaef31083fbb02faf74d5cc9f065bc4e06dd2cb9d7a848696b5684333ed4eba395fa0751d97270e5effbc97,2020-05-05 11:35:00,834563.0,DRIVER,60164,P,5,2020,11:35:00
2bdb105a834f9917ee9be1937302d775525192c91e7398a3c328a6cb2df452c9bd195ac971198d90017dbd630723f3baba99af3ef35feb1e466f9855d664bb13,2020-05-06 00:53:00,834906.0,DRIVER,62901,P,5,2020,00:53:00
cde8a9b84b0dfd2a2a0182aa08b080edae73604dc7a447a12143c246e30cdadae6a9feffb13fb720adca471d7bf60aa1f5cbd078a84472b33349d94ad6035316,2015-10-28 09:00:00,9693.0,DRIVER,60804,P,10,2015,09:00:00
30ee5e5d0a838eada30d78047dbf3c05e9e1118c0e301329ad598815d4dc5af1fe0b57996bc158ac3b03b35ccf023f60baae88cd6bb98b8da3683adc24818747,2020-02-23 18:15:00,805356.0,DRIVER,60047,P,2,2020,18:15:00
