PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,SEX,AGE,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,BAC_RESULT,BAC_RESULT VALUE,CELL_PHONE_USE,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,geometry,YEAR,SEASON,SEX_R,SEASON_R,PERSON_TYPE_R,AIRBAG_DEPLOYED_R,INJURY_CLASSIFICATION_R,EJECTION_R
O1457317,DRIVER,449ef887fb6e3068aeeba6a186b4ba2b39b2185330570c696bc995ed5392e1d6f4bf25cf960941ea23f21df6fdc72342bd5d29bd2b3406c4d2565e1d4e9c5294,1384996.0,M,37.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-07 15:10:00,30,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",11/07/2022 03:49:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,11,41.912220764,-87.736330544,POINT (-87.736330543884 41.912220764201),POINT (1146746.1153798602 1911168.650712268),2022,Fall,1.0,4,1,2.0,0.0,0.0
O1435431,BICYCLE,d9c21454f195dba4c125af16bd81826c726573d964113519a2ca7095b7201a812a61415676a40b7b31f8f48b5e1cc55e6e98ebeee14eb443ec89b550953bfff3,,M,31.0,,NONE,NO INDICATION OF INJURY,UNKNOWN,NOT OBSCURED,NORMAL,UNKNOWN/NA,NO CONTRASTING CLOTHING,IN ROADWAY,TEST NOT OFFERED,,,,2022-10-07 09:34:00,30,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,10/07/2022 09:36:00 AM,WEATHER,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,6,10,41.932078435,-87.644547009,POINT (-87.644547008936 41.932078435022),POINT (1171670.3572664214 1918592.0782915896),2022,Fall,1.0,4,4,,0.0,0.0
O1403375,DRIVER,3dc1fe03496ab88684dab1413aad7ab924af08bcfa9d83f713f6bc2920f66edcc2fd88d6dc20a4242f7c454d7f9afa4add429bc321c7ad3198bfc4a60f0f02d1,1333562.0,M,18.0,NOT APPLICABLE,TOTALLY EJECTED,INCAPACITATING INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-08-21 00:10:00,30,CLEAR,DARKNESS,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",08/21/2022 12:13:00 AM,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING STOP SIGN,,2,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,8,41.946514264,-87.725007811,POINT (-87.725007811178 41.946514264321),POINT (1149739.3612597953 1923686.9107426375),2022,Summer,1.0,3,1,3.0,3.0,1.0
O1262973,DRIVER,0a447472afb1faa2d23ae5f023b09aadfc0c2596036dfa54c6bc53543302167641f6af6a2fb87bd39e0f2e75f97b9627b1bfe2b1d7212ec62bf43f060a964c8c,1198900.0,F,57.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-01-14 19:00:00,30,SNOW,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",01/14/2022 07:30:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,6,1,41.97578974,-87.771235108,POINT (-87.771235108184 41.975789739662),POINT (1137093.6249780892 1934269.126958749),2022,Winter,0.0,1,1,3.0,0.0,0.0
O1309301,DRIVER,d85e2f4fccf0f60370511e70c6779ce7d40b6639955a0ab70516df1676ba2320e148a9a94cb1347bd8f7bbb7120432e49959e6d7699d8b4a0f2099df264bb64d,1243423.0,M,38.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,Y,2022-03-16 07:10:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,"OVER $1,500",03/16/2022 07:26:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,4,3,41.939680348,-87.712369909,POINT (-87.712369909496 41.939680347789),POINT (1153195.4408453468 1921221.2684434578),2022,Spring,1.0,2,1,2.0,0.0,0.0
O1468159,DRIVER,c919f859a53acb1d0cfd49eaf43d90b9f4c85041b9ac2d9cebdf6051cc7a761823ffc6b87c09fbbbbaec8146758e25d5f0ff4d2ecf0c0c8f8ebdd6aca4e15944,1395407.0,M,20.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-11-23 15:00:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",11/23/2022 04:40:00 PM,DRIVING ON WRONG SIDE/WRONG WAY,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15,4,11,41.751045702,-87.61385772,POINT (-87.613857719748 41.751045701871),POINT (1180573.6443458137 1852692.8847711028),2022,Fall,1.0,4,1,2.0,0.0,0.0
O1472368,DRIVER,c748219d2bdc4c70160cf0c6b6104f7da5bb82991473df579f17babccb357793331ca52bbf5d84500fddc82de104558892b6883adcc4c90add15aeec6e657e6b,1399450.0,F,61.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-12-01 10:16:00,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",12/01/2022 12:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,5,12,41.97959355,-87.758589272,POINT (-87.758589271767 41.979593550153),POINT (1140522.9450799932 1935678.068832478),2022,Winter,0.0,1,1,2.0,0.0,0.0
O1473716,DRIVER,ef584a9f436eeee44af1df3f9c3d368d3709add528316201f90cbc94fb1c9c6ec29f0702fdf01d03167896fe1ca2c673cfe7d97a7bda5c3ebeeb570e41ff53b1,1400735.0,F,23.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,FOLLOWED TOO CLOSELY,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,Y,2022-12-03 13:45:00,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",12/03/2022 02:10:00 PM,NOT APPLICABLE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,7,12,41.990214676,-87.713836077,POINT (-87.713836077318 41.990214675792),POINT (1152663.3958888515 1939633.2876997704),2022,Winter,0.0,1,1,2.0,0.0,0.0
O1363353,DRIVER,2d1b68e932a46a446e1af075afa1dee65b9519a71e333b0ed225fb31e8e01355a8b08fc7f81764cf0da6672346bcf662fc7a6512d9f3f3f24f86b44a9322680a,1295426.0,M,56.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,PARKED VEHICLES,NORMAL,,,,TEST NOT OFFERED,,,,2022-06-21 13:10:00,20,CLEAR,DAYLIGHT,TURNING,NOT REPORTED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",06/21/2022 02:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,3,6,42.010274041,-87.674099263,POINT (-87.674099263408 42.010274040748),POINT (1163409.8151024587 1947023.6990291674),2022,Summer,1.0,3,1,2.0,0.0,0.0
O1396873,DRIVER,9bf11bd86e87e723ec448422849e44b426a8a72a6b5132d4b928b79707d81115066b249fc82d8153ee7a8637eff3b77611b9345ab6d6059a5fc9644a4cfccb66,1327330.0,F,19.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-08-11 15:24:00,30,CLEAR,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT ON GRADE,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",08/11/2022 04:15:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15,5,8,41.720848927,-87.681915113,POINT (-87.681915112556 41.720848926601),POINT (1162085.9787896122 1841541.5408166486),2022,Summer,0.0,3,1,2.0,0.0,0.0
